Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.1762	0.8231	0.0471	0.0033	0.0	0.0	0.0	0.8241	0.8219	0.0052	0.0004	0.8636	0.0004	0.0	0.2785	0.0013	0.0
original	0.8	0.1784	0.8211	0.0328	0.0023	0.0	0.0	0.0	0.8241	0.8223	0.0081	0.0006	0.8638	0.0006	0.0	0.279	0.0019	0.0
original	0.7	0.1798	0.8196	0.028	0.002	0.0	0.0	0.0	0.819	0.823	0.0119	0.0008	0.8633	0.001	0.0	0.2764	0.0023	0.0
original	0.6	0.1793	0.8201	0.0191	0.0013	0.0	0.0	0.0	0.8211	0.8233	0.0127	0.0009	0.863	0.0011	0.0	0.2773	0.0033	0.0
original	0.5	0.1758	0.8237	0.0162	0.0011	0.0	0.0	0.0	0.8235	0.8204	0.0161	0.0011	0.862	0.0012	0.0	0.2845	0.0041	0.0
original	0.45	0.1779	0.8215	0.0167	0.0012	0.0	0.0	0.0	0.8194	0.8226	0.0203	0.0014	0.8628	0.0016	0.0	0.278	0.0044	0.0
original	0.4	0.1767	0.8228	0.0137	0.001	0.0	0.0	0.0	0.8226	0.8209	0.0206	0.0015	0.8602	0.0017	0.0	0.2763	0.0048	0.0
original	0.1	0.1768	0.8223	0.0057	0.0004	0.0	0.0	0.0	0.8224	0.8197	0.0504	0.0036	0.8432	0.005	0.0	0.3208	0.0104	0.0
original	0.35	0.1788	0.8206	0.0119	0.0008	0.0	0.0	0.0	0.822	0.8246	0.0221	0.0016	0.8622	0.0018	0.0	0.2757	0.0057	0.0
original	0.3	0.1788	0.8207	0.01	0.0007	0.0	0.0	0.0	0.8215	0.8252	0.0233	0.0016	0.8612	0.0021	0.0	0.2739	0.006	0.0
original	0.25	0.1777	0.8217	0.01	0.0007	0.0	0.0	0.0	0.8235	0.8231	0.0298	0.0021	0.8586	0.0026	0.0	0.286	0.0069	0.0
original	0.2	0.1775	0.8219	0.0079	0.0006	0.0	0.0	0.0	0.8211	0.8224	0.0315	0.0022	0.8605	0.0029	0.0	0.2938	0.0081	0.0
original	0.05	0.1774	0.8172	0.0408	0.0029	0.0054	0.0072	0.0061	0.8221	0.817	0.0762	0.0054	0.7809	0.0085	0.0	0.4189	0.0118	0.0


15perc_2repeat	0.1	0.1772	0.8221	0.0055	0.0004	0.0	0.0	0.0	0.8224	0.8213	0.0496	0.0035	0.8543	0.0052	0.0	0.2978	0.0129	0.0
5perc_5repeat	0.1	0.1768	0.8223	0.0055	0.0004	0.0	0.0	0.0	0.8224	0.8197	0.0489	0.0035	0.8521	0.0057	0.0	0.2838	0.0165	0.0
100perc_2repeat	0.05	0.1826	0.8106	0.0723	0.0051	0.0054	0.0172	0.0082	0.8221	0.8168	0.0732	0.0052	0.7815	0.0104	0.0	0.4178	0.011	0.0
5perc_10repeat	0.1	0.177	0.8221	0.0057	0.0004	0.0	0.0	0.0	0.8224	0.8211	0.0508	0.0036	0.8565	0.006	0.0	0.2549	0.0145	0.0
90perc_5repeat	0.05	0.1867	0.8048	0.0915	0.0065	0.0065	0.0248	0.0103	0.8221	0.8178	0.0761	0.0054	0.7853	0.0099	0.0	0.3969	0.0115	0.0
80perc_2repeat	0.05	0.1831	0.8106	0.075	0.0053	0.0051	0.0166	0.0078	0.8221	0.8209	0.0768	0.0054	0.7835	0.0101	0.0	0.4304	0.0127	0.0
30perc_5repeat	0.05	0.1793	0.815	0.0442	0.0031	0.0044	0.0109	0.0063	0.8221	0.8209	0.0692	0.0049	0.8154	0.0113	0.0	0.3341	0.0178	0.0
60perc_10repeat	0.05	0.1887	0.8057	0.0811	0.0057	0.009	0.0251	0.0132	0.8221	0.8207	0.0747	0.0053	0.8172	0.0118	0.0	0.3727	0.0173	0.0
